0.006113	0.005088
0.000423	0.000387
0.000343	0.000318
0.000275	0.000255
0.00022	0.000202
0.000182	0.000163
0.000155	0.000134
0.000139	0.000115
0.000129	0.000105
0.000125	0.000099
0.000129	0.000102
0.000143	0.000111
0.000173	0.000127
0.000222	0.000153
0.000303	0.000188
0.000417	0.000228
0.000557	0.000271
0.000709	0.00031
0.00085	0.000324
0.000953	0.00033
0.001012	0.000328
0.001022	0.000322
0.001004	0.000314
0.000963	0.000304
0.000911	0.000297
0.000856	0.000293
0.000808	0.000292
0.000772	0.000292
0.000752	0.000296
0.000745	0.000302
0.000752	0.000311
0.000768	0.000327
0.000791	0.000351
0.00082	0.000386
0.000855	0.000433
0.000895	0.00049
0.000945	0.000555
0.001005	0.000624
0.001083	0.000701
0.001181	0.000783
0.001301	0.000872
0.001447	0.000972
0.001623	0.001084
0.001833	0.001213
0.002082	0.001359
0.002364	0.001524
0.002669	0.001706
0.002983	0.001903
0.003302	0.002109
0.00363	0.002324
0.003981	0.002546
0.004371	0.002782
0.004812	0.003035
0.005308	0.003306
0.005857	0.003593
0.00646	0.003898
0.007117	0.004228
0.007831	0.004585
0.008604	0.004974
0.009454	0.005402
0.010404	0.005884
0.011504	0.006449
0.012818	0.007126
0.014429	0.007935
0.016415	0.008898
0.018832	0.010025
0.021704	0.011323
0.025016	0.012797
0.028738	0.01446
0.032822	0.016332
0.037219	0.01844
0.04188	0.020813
0.046597	0.023475
0.051181	0.027035
0.05611	0.030413
0.061477	0.034287
0.067433	0.038749
0.07416	0.043937
0.081806	0.049993
0.090478	0.057024
0.100261	0.065113
0.111193	0.074288
0.123283	0.08459
0.136498	0.096095
0.150887	0.109028
0.1665	0.123611
0.183344	0.140022
0.201323	0.158257
0.220284	0.178185
0.240073	0.199669
0.260556	0.222504
0.281602	0.246453
0.303079	0.271195
0.324872	0.295584
0.346887	0.319362
0.369051	0.343441
0.391305	0.367818
0.413938	0.392493
0.437313	0.41746
0.461101	0.442716
0.485304	0.468258
0.509924	0.494075
0.534957	0.520164
0.560407	0.546514
0.586265	0.573114
0.612529	0.599953
0.639188	0.627014
0.666233	0.654283
0.693651	0.681741
0.721425	0.709364
0.749533	0.73713
0.77795	0.765011
0.806647	0.792974
0.835585	0.820987
0.864722	0.849009
0.894008	0.876998
0.923382	0.904905
0.952778	0.932675
0.982113	0.960249
1	0.987564
1	1
1	1
